Day,Weather,PricePerGlass,SignsMade,GlassesMade,GlassesSold,Profit,Assets,Storm,StreetCrewWorking,StreetCrewThirsty,WeatherFactor,ChanceOfRain,BaseDemand,SignBenefit,DemandMultiplier,AdjUnits,CostPerGlass,CostPerSign,Income,Expenses
1,Sunny,3,9,72,72,-0.6299999999999999,9.370000000000001,False,False,False,1.0,0,46.8,0.9888910034617577,1.9888910034617577,93,2,0.15,2.16,2.79
2,Sunny,0,1,102,0,-2.19,7.1800000000000015,False,True,False,0.1,0,54.0,0.3934693402873666,0.13934693402873666,0,2,0.15,0.0,2.19
3,Sunny,12,1,8,8,0.49,7.670000000000002,False,True,True,0.1,0,20.833333333333332,0.3934693402873666,0.13934693402873666,8,4,0.15,0.96,0.47
4,Cloudy,5,1,116,0,-4.79,2.8800000000000017,True,False,False,0.5,50,42.0,0.3934693402873666,0.6967346701436833,0,4,0.15,0.0,4.79
5,Sunny,7,6,17,17,-0.3900000000000001,2.4900000000000015,False,False,True,1.0,0,37.2,0.950212931632136,1.950212931632136,72,4,0.15,1.19,1.58
6,Sunny,11,3,46,0,-2.29,0.2000000000000015,False,True,False,0.1,0,24.793388429752067,0.7768698398515702,0.17768698398515703,0,4,0.15,0.0,2.29
7,Hot,5,8,145,145,-1.1999999999999993,-0.9999999999999978,False,False,False,2.0,0,42.0,0.9816843611112658,3.9633687222225316,166,5,0.15,7.25,8.45
8,Sunny,7,6,22,22,-0.45999999999999996,-1.4599999999999977,False,False,False,1.0,0,37.2,0.950212931632136,1.950212931632136,72,5,0.15,1.54,2.0
9,Sunny,0,1,52,52,-2.75,-4.209999999999997,False,False,True,1.0,0,54.0,0.3934693402873666,1.3934693402873666,75,5,0.15,0.0,2.75
10,Cloudy,11,2,37,0,-2.15,-6.359999999999998,True,False,False,0.7,30,24.793388429752067,0.6321205588285577,1.1424843911799902,0,5,0.15,0.0,2.15
11,Sunny,12,7,132,0,-7.6499999999999995,-14.009999999999998,False,True,False,0.1,0,20.833333333333332,0.9698026165776815,0.19698026165776816,0,5,0.15,0.0,7.6499999999999995
12,Sunny,3,5,35,35,-1.45,-15.459999999999997,False,False,False,1.0,0,46.8,0.9179150013761012,1.9179150013761013,89,5,0.15,1.05,2.5
13,Hot,12,4,67,67,4.089999999999999,-11.369999999999997,False,False,False,2.0,0,20.833333333333332,0.8646647167633873,3.7293294335267744,77,5,0.15,8.04,3.95
14,Sunny,12,2,22,22,1.24,-10.129999999999997,False,False,False,1.0,0,20.833333333333332,0.6321205588285577,1.6321205588285577,34,5,0.15,2.64,1.4000000000000001
15,Sunny,12,0,43,20,0.25,-9.879999999999997,False,False,False,1.0,0,20.833333333333332,0.0,1.0,20,5,0.15,2.4,2.15
16,Sunny,6,3,57,57,0.1200000000000001,-9.759999999999998,False,False,False,1.0,0,39.6,0.7768698398515702,1.77686983985157,70,5,0.15,3.42,3.3
17,Cloudy,10,0,134,15,-5.2,-14.959999999999997,False,False,False,0.5,50,30.0,0.0,0.5,15,5,0.15,1.5,6.7
18,Sunny,6,2,98,0,-5.2,-20.159999999999997,False,True,False,0.1,0,39.6,0.6321205588285577,0.16321205588285578,0,5,0.15,0.0,5.2
19,Cloudy,1,2,3,3,-0.41999999999999993,-20.58,False,False,False,0.5,50,51.6,0.6321205588285577,0.8160602794142788,42,5,0.15,0.03,0.44999999999999996
20,Cloudy,4,0,93,22,-3.7700000000000005,-24.349999999999998,False,False,False,0.5,50,44.4,0.0,0.5,22,5,0.15,0.88,4.65
21,Sunny,2,6,43,43,-2.19,-26.54,False,False,False,1.0,0,49.2,0.950212931632136,1.950212931632136,95,5,0.15,0.86,3.05
22,Cloudy,5,5,36,0,-2.55,-29.09,True,False,False,0.5,50,42.0,0.9179150013761012,0.9589575006880506,0,5,0.15,0.0,2.55
23,Cloudy,12,3,142,14,-5.87,-34.96,False,False,False,0.4,60,20.833333333333332,0.7768698398515702,0.7107479359406281,14,5,0.15,1.68,7.55
24,Cloudy,8,1,118,19,-4.530000000000001,-39.49,False,False,False,0.4,60,34.8,0.3934693402873666,0.5573877361149466,19,5,0.15,1.52,6.050000000000001
25,Sunny,0,5,99,99,-5.7,-45.190000000000005,False,False,False,1.0,0,54.0,0.9179150013761012,1.9179150013761013,103,5,0.15,0.0,5.7
26,Sunny,1,7,113,101,-5.69,-50.88,False,False,True,1.0,0,51.6,0.9698026165776815,1.9698026165776814,101,5,0.15,1.01,6.7
27,Sunny,3,1,34,34,-0.8299999999999998,-51.71,False,False,False,1.0,0,46.8,0.3934693402873666,1.3934693402873666,65,5,0.15,1.02,1.8499999999999999
28,Sunny,9,4,72,60,1.2000000000000002,-50.51,False,False,False,1.0,0,32.4,0.8646647167633873,1.8646647167633872,60,5,0.15,5.4,4.2
29,Sunny,11,6,44,44,1.7399999999999998,-48.769999999999996,False,False,False,1.0,0,24.793388429752067,0.950212931632136,1.950212931632136,48,5,0.15,4.84,3.1
30,Sunny,4,3,138,78,-4.23,-53.0,False,False,False,1.0,0,44.4,0.7768698398515702,1.77686983985157,78,5,0.15,3.12,7.3500000000000005
31,Sunny,1,8,85,85,-4.6000000000000005,-57.6,False,False,False,1.0,0,51.6,0.9816843611112658,1.9816843611112658,102,5,0.15,0.85,5.45
32,Sunny,9,0,133,32,-3.7700000000000005,-61.370000000000005,False,False,True,1.0,0,32.4,0.0,1.0,32,5,0.15,2.88,6.65
33,Sunny,11,3,123,0,-6.6000000000000005,-67.97,False,True,False,0.1,0,24.793388429752067,0.7768698398515702,0.17768698398515703,0,5,0.15,0.0,6.6000000000000005
34,Hot,10,7,147,118,3.4000000000000004,-64.57,False,False,False,2.0,0,30.0,0.9698026165776815,3.939605233155363,118,5,0.15,11.8,8.4
