Day,Weather,PricePerGlass,SignsMade,GlassesMade,GlassesSold,Profit,Assets,Storm,StreetCrewWorking,StreetCrewThirsty,WeatherFactor,MarketingFactor,DemandMultiplier,AdjDemand,ChanceOfRain,BaseDemand,CostPerGlass,CostPerSign,Income,Expenses
1,Sunny,8,4,49,49,2.34,12.34,False,False,False,1.0,1.8646647167633872,1.8646647167633872,64,0,34.8,2,0.15,3.92,1.58
2,Sunny,10,4,41,41,2.6799999999999997,15.02,False,False,False,1.0,1.8646647167633872,1.8646647167633872,55,0,30.0,2,0.15,4.1,1.42
3,Hot,6,5,138,138,2.01,17.03,False,False,False,2.0,1.9179150013761013,3.8358300027522025,151,0,39.6,4,0.15,8.28,6.27
4,Hot,11,0,121,49,0.5499999999999998,17.580000000000002,False,False,False,2.0,1.0,2.0,49,0,24.793388429752067,4,0.15,5.39,4.84
5,Hot,8,0,76,69,2.4799999999999995,20.060000000000002,False,False,False,2.0,1.0,2.0,69,0,34.8,4,0.15,5.52,3.04
6,Hot,6,0,120,79,-0.05999999999999961,20.000000000000004,False,False,False,2.0,1.0,2.0,79,0,39.6,4,0.15,4.74,4.8
7,Sunny,10,1,56,41,1.15,21.150000000000002,False,False,False,1.0,1.3934693402873666,1.3934693402873666,41,0,30.0,5,0.15,4.1,2.9499999999999997
8,Sunny,6,4,43,43,-0.16999999999999993,20.980000000000004,False,False,False,1.0,1.8646647167633872,1.8646647167633872,73,0,39.6,5,0.15,2.58,2.75
9,Hot,6,1,159,110,-1.5,19.480000000000004,False,False,False,2.0,1.3934693402873666,2.786938680574733,110,0,39.6,5,0.15,6.6,8.1
10,Sunny,9,3,53,53,1.67,21.150000000000006,False,False,False,1.0,1.77686983985157,1.77686983985157,57,0,32.4,5,0.15,4.77,3.0999999999999996
11,Hot,13,0,125,35,-1.7000000000000002,19.450000000000006,False,False,False,2.0,1.0,2.0,35,0,17.75147928994083,5,0.15,4.55,6.25
12,Hot,13,7,149,69,0.47000000000000064,19.92000000000001,False,False,False,2.0,1.9698026165776814,3.939605233155363,69,0,17.75147928994083,5,0.15,8.97,8.5
13,Cloudy,7,2,27,0,-1.6500000000000001,18.27000000000001,True,False,False,0.30000000000000004,1.6321205588285577,0.4896361676485674,0,70,37.2,5,0.15,0.0,1.6500000000000001
14,Hot,7,0,154,74,-2.5200000000000005,15.75000000000001,False,False,False,2.0,1.0,2.0,74,0,37.2,5,0.15,5.18,7.7
15,Cloudy,9,1,22,13,-0.08000000000000007,15.67000000000001,False,False,False,0.30000000000000004,1.3934693402873666,0.41804080208621003,13,70,32.4,5,0.15,1.17,1.25
16,Sunny,11,3,49,0,-2.9000000000000004,12.77000000000001,False,True,False,0.1,1.77686983985157,0.17768698398515703,0,0,24.793388429752067,5,0.15,0.0,2.9000000000000004
17,Sunny,8,3,49,0,-2.9000000000000004,9.87000000000001,False,True,False,0.1,1.77686983985157,0.17768698398515703,0,0,34.8,5,0.15,0.0,2.9000000000000004
18,Sunny,9,2,58,52,1.48,11.35000000000001,False,False,False,1.0,1.6321205588285577,1.6321205588285577,52,0,32.4,5,0.15,4.68,3.1999999999999997
19,Cloudy,6,2,55,0,-3.05,8.300000000000011,True,False,False,0.30000000000000004,1.6321205588285577,0.4896361676485674,0,70,39.6,5,0.15,0.0,3.05
20,Cloudy,9,2,51,26,-0.5099999999999998,7.790000000000012,False,False,False,0.5,1.6321205588285577,0.8160602794142788,26,50,32.4,5,0.15,2.34,2.8499999999999996
21,Hot,7,0,157,74,-2.67,5.120000000000012,False,False,False,2.0,1.0,2.0,74,0,37.2,5,0.15,5.18,7.85
22,Sunny,11,4,54,0,-3.3000000000000003,1.8200000000000114,False,True,False,0.1,1.8646647167633872,0.18646647167633873,0,0,24.793388429752067,5,0.15,0.0,3.3000000000000003
23,Sunny,7,3,50,50,0.5499999999999998,2.370000000000011,False,False,False,1.0,1.77686983985157,1.77686983985157,66,0,37.2,5,0.15,3.5,2.95
